Plate, Make, Colour
PE04ZTG,VAUXHALL,BLACK
SF52EAM,FORD,BLUE
WA09CNJ,PIAGGIO,BLUE
SH11YSB,VOLKSWAGEN,BLACK
YF60ZJN,TOYOTA,GREY
EY17CKX,TOYOTA,GREY
RD09MOG,MORGAN,BLACK
CX53LJF,FORD,WHITE
LY07NRL,CITROEN,WHITE
YB11KBJ,HONDA,RED
AY52WVS,ROVER,BLUE
WF57GSO,MITSUBISHI,RED
PC03SAR,CITROEN,SILVER
NY51BHZ,FORD,RED
SJ61UOV,FORD,BLACK
RJ58UBH,VOLKSWAGEN,BLACK
LV17OYR,NISSAN,GREEN
FG62JCV,SKODA,BLACK
YY06ZGO,CITROEN,BLUE
VE14XKS,AUDI,GREY
YR02VOF,SUZUKI,BLUE
KP56RVY,VAUXHALL,RED
GX65WWN,FORD,RED
YF63BYS,MINI,BLUE
RF08BOU,NISSAN,BLUE
KK18TGN,LAND ROVER,SILVER
DN53JPJ,TOYOTA,GREY
CA14JSX,HYUNDAI,BLUE
WO17LTU,FORD,GREY
FJ55FXS,HARLEY-DAVIDSON,BLACK
GF63CFE,MERCEDES-BENZ,WHITE
SY63KHH,RENAULT,BLUE
LC58HZG,KIA,SILVER
AB64DWB,FORD,WHITE
LX11TZY,RENAULT,RED
FM04XFW,PEUGEOT,BLUE
WN10WYO,LAND ROVER,GREY
ND12KLC,FORD,GREEN
LJ17HCO,TOYOTA,SILVER
SB53WWC,VOLKSWAGEN,RED
RA02NLV,BMW,SILVER
YR07HZZ,SUZUKI,RED
LN52XUV,RENAULT,GREY
DX54ZTH,VAUXHALL,BLUE
YN17FNX,SKODA,GREY
WR02GYK,VAUXHALL,RED
YK05PLZ,PEUGEOT,SILVER
LW03UXL,VAUXHALL,BLUE
PN63YWY,HYUNDAI,SILVER
LL67EUE,KIA,BRONZE
LG62RZR,JAGUAR,GREY
RE64UAX,VOLVO,RED
KP19VWA,HYUNDAI,GREY
LJ64UMK,MINI,ORANGE
FV13RUU,MERCEDES-BENZ,BLACK
YB62ATV,LAND ROVER,GREY
FJ64TYS,CITROEN,WHITE
CK52EWA,RENAULT,BLACK
NV59BFZ,RENAULT,BLACK
MA03VFP,VOLKSWAGEN,GREY
KU59YXH,MERCEDES-BENZ,BLACK
YA19NJO,DAF TRUCKS,WHITE
RN05OSW,HONDA,BLUE
FY17WTV,FIAT,WHITE
LC05RCY,SUZUKI,BLUE
GN56KKE,IVECO,WHITE
GK02OZX,PIAGGIO,BLUE
AO17XKP,KIA,BLACK
YS15LNC,FORD,SILVER
YC12WEU,AUDI,SILVER
HG58USS,FORD,BLUE
SG53AYA,TOYOTA,SILVER
SD17OBR,PEUGEOT,GREY
HY19HDN,DACIA,BLUE
FY09ZFA,LAND ROVER,GREY
GN55NXC,FORD,BLACK
YD15VGY,VAUXHALL,RED
FN66XVO,FORD,WHITE
DF13GZH,SKODA,BEIGE
YJ04ZRZ,DUCATI,BLACK
WK02FYZ,SUZUKI,RED
GN07UOR,PEUGEOT,BLACK
DE10NLT,MERCEDES-BENZ,WHITE
HT02ZJJ,CHRYSLER,BLUE
SP67BWU,FIAT,SILVER
YY56JHU,PEUGEOT,BLACK
DV67JHO,VAUXHALL,BLACK
FP55HXD,CITROEN,BLUE
PN62PAO,NISSAN,BLACK
KX04XXN,MATHIEU,YELLOW
AE02JAM,PEUGEOT,BLUE
YK57RHX,BMW,BLACK
YG59BVZ,AUDI,WHITE
SB61ECE,HARLEY-DAVIDSON,MULTI-COLOUR
FN09YNG,VAUXHALL,WHITE
WD66UPG,VAUXHALL,WHITE
LT65WZY,MERCEDES-BENZ,GREY
GL62BCV,LAND ROVER,BLACK
DX58RDZ,JOHN DEERE,GREEN
KM53OWV,PEUGEOT,SILVER
YC07XEE,BMW,BLACK
SO13BVL,HYUNDAI,RED
HV59SKE,RENAULT,BLACK
YD65ZJX,VAUXHALL,WHITE
DY65XHA,FIAT,SILVER
DC09JCC,FORD,WHITE
KP11KWA,VAUXHALL,BLUE
VF57FDY,AUDI,BLACK
LG64WRN,MINI,BLUE
NM05FJP,FORD,BLUE
